Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
痛风,风湿科,　　痛风(gout)是一种由于嘌呤生物合成代谢增加，尿酸产生过多或因尿酸排泄不良而致血中尿酸升高，尿酸盐结晶沉积在关节滑膜、滑囊、软骨及其他组织中引起的反复发作性炎性疾病。首次发作多侵犯单关节，常见第一跖趾关节受累。表现为关节红肿灼热、触痛、功能受限。典型发作表现为：疼痛发作在24小时内达到高峰；14天内缓解；急性关节炎缓解后一般无明显后遗症状。本病以关节液和痛风石中可找到有双折光性的单水尿酸钠结晶为其特点。其临床特征为：高尿酸血症及尿酸盐结晶、沉积所致的特征性急性关节炎、痛风石、间质性肾炎，严重者见关节畸形及功能障碍，常伴尿酸性尿路结石。多见于体形肥胖的中老年男性和绝经期后妇女。随着经济发展和生活方式改变，其患病率逐渐上升。,tf," 关节石病,尿酸盐贮积病,足痛风,历节风",http://jbk.39.net/tf/yyzl,内科,http://jbk.39.net/tf/jbzs,"第1跖趾关节疼痛和肿大,关节疼痛,关节肿胀,关节畸形,尿酸盐在关节内沉积增多"
干燥综合征,风湿科,　　干燥综合征(Sjouml;gren syndrome，SS)是一种侵犯外分泌腺体尤以侵犯唾液腺和泪腺为主的慢性自身免疫性疾病。主要表现为口、眼干燥，也可有多器官、多系统损害。受累器官中有大量淋巴细胞浸润，血清中多种自身抗体阳性。本综合征也称为自身免疫性外分泌腺病(autoimmune exocrine gland disease)、斯约格伦综合征、口眼干燥关节炎综合征。常与其他风湿病或自身免疫性疾病重叠。,gzzhz," 舍格伦综合征,斯约格伦综合征,自身免疫性外分泌腺病,古-豪二氏综合征",http://jbk.39.net/gzzhz/yyzl,内科,http://jbk.39.net/gzzhz/jbzs,"干性皮肤,反复感染,面部脱皮,关节疼痛,无力,皮肤干燥"
盘状红斑狼疮,风湿科,　　盘状红斑狼疮(DLE)为慢性复发性疾病，主要侵犯皮肤，其特征是有界限清楚的红色斑块(红斑)，毛囊栓塞，鳞屑，毛细血管扩张以及皮肤萎缩等。病因不清。女性多见，30岁左右发病率最高。本病可分两型：①局限型皮肤损害仅限于颈部以上的皮肤;②播散型皮损累及全身广泛部位的皮肤。有些作者认为播散型容易转变为系统性红斑狼疮。,pzhblc,"
                                        ",http://jbk.39.net/pzhblc/yyzl,内科,http://jbk.39.net/pzhblc/jbzs,"面部蝶形红斑,盘状红斑,溃疡"
真菌过敏症,风湿科,　　真菌的孢子和菌丝经各种途径进入人体后，都有可能引起过敏反应。具特异体质(特异反应性)的患者(如哮喘、过敏性鼻炎、遗传过敏性皮炎等患者)，更易发生真菌过敏症。由于职业等原因，长期接触或经常暴露于含有大量特殊过敏原环境的正常人中，亦可能发生变态反应。,zjgmz,"
                        ",http://jbk.39.net/zjgmz/yyzl,内科,http://jbk.39.net/zjgmz/jbzs,"疱疹,瘙痒"
血清病,风湿科,　　血清病(serum sickness)是指由于注射运动免疫血清后所并的发一种免疫复合物性疾病，其表现主要有皮疹、发热、关节痛、淋巴结肿大等。目前免疫血清的临床应用已减少，仅限于防治白喉、破伤风、某些毒蛇咬伤后，以及阻止移植物排斥等的免疫抑制治疗。相反的，由于药物致敏已成为当今最常见的血清病病因。,xqb,"
                        ",http://jbk.39.net/xqb/yyzl,内科,http://jbk.39.net/xqb/jbzs,"皮肤瘙痒,风团,发烧,恶心,淋巴结肿大"
结缔组织病,风湿科,　　结缔组织病，以疏松结缔组织粘液样水肿及纤维蛋白样变性为病理基础的一组疾病。最早认为主要是胶原纤维发生纤维蛋白样变性所致，故称为弥漫性胶原病或胶原血管病，以后认为主要病变不仅限于胶原纤维，而改称为结缔组织病。病因不十分清楚，一般认为与遗传、免疫及病毒感染等有一定关系，是多因性疾病。随着免疫学的进展，发现多数结缔组织病均伴有免疫学的异常，如抑制性T细胞功能低下、体液免疫功能亢进，有些结缔组织病有自身抗体存在，故也将这组病归入免疫性疾病或自身免疫性疾病。,jdzzb,"
                        ",http://jbk.39.net/jdzzb/yyzl,内科,http://jbk.39.net/jdzzb/jbzs,
类风湿性关节炎肾损害,风湿科,　　类风湿性关节炎肾损害是由类风湿性关节炎引起的急、慢性间质性肾炎、肾淀粉样变、肾脏坏死性血管炎及免疫复合物性肾炎，并伴有相应临床表现的一组疾病。,lfsxgjyssh,"
                                        ",http://jbk.39.net/lfsxgjyssh/yyzl,内科,http://jbk.39.net/lfsxgjyssh/jbzs,"关节僵直,蛋白尿,结节,肢端硬化,夜尿增多"
硬肿症,风湿科,　　硬肿症为一种不明原因的通常呈良性经过的少见病。也是一种全身性风湿病：其特征为突然出现全身性对称性皮肤严重水肿硬结。皮损特点与系统性硬皮病水肿期出现的改变相似。本病通常在6～12个月内可自行缓解，但偶可持续数十年。Curzio(1775)首先报道本病。Pifford(1876)较详细地论述了其临床病理特征。Bushkle(1902)将其肯定为一种特殊的独立疾病。,yzz, 皮硬化病,http://jbk.39.net/yzz/yyzl,内科,http://jbk.39.net/yzz/jbzs,
多发性肌炎和皮肌炎伴发的精神障碍,风湿科,　　多发性肌炎是一种原因不明的结缔组织病，如本病同时伴有皮炎时称为皮肌炎。其伴发的精神障碍主要是指在有丰富的疏松结缔组织的骨骼肌或皮肤和骨骼肌一起损害时，炎症性改变涉及各脏器和神经系统，而产生精神障碍和神经症状其炎症性改变涉及各器官和神经系统，可导致神经精神症状。,dfxjyhpjybfdjsza,"
                                        ",http://jbk.39.net/dfxjyhpjybfdjsza/yyzl,内科,http://jbk.39.net/dfxjyhpjybfdjsza/jbzs,
巨细胞动脉炎和风湿性多肌痛,风湿科,　　巨细胞动脉炎(giant cell arteritis，GCA)，是一种以侵犯颅动脉为主的系统性血管炎综合征。在19世纪，Jonathon Hutchinson首次描述了一位因颞动脉触痛而致戴帽困难的男性患者，此后逐渐明确了GCA的临床特点，它是一种慢性肉芽肿性血管炎。早年发现的巨细胞动脉炎病例几乎都是颞动脉受累，伴有颞部头痛、头皮及颞动脉触痛，因此又称为颞动脉炎(temporal arteritis，TA)、肉芽肿性血管炎或颅动脉炎。现在知道TA主要累及从主动脉弓发出的动脉分支，也可累及其他中等大小的动脉。血管炎症部位可形成肉芽肿，含有数量不等的巨细胞，故现在多称为巨细胞动脉炎。巨细胞是指任何巨大的细胞，可有一个或多个核，如多核巨细胞(multinuclear giant cell，MGC)。它包括病理相似而临床表现不同的两个疾病，即颞动脉炎(temporal arteritis，TA)和多发性大动脉炎(Takayasus disease)。GCA以颞部头痛、间歇性下颌运动障碍以及失明为临床特点，其发病年龄均在50岁以上。,jxbdmyhfsxdjt,"
                        ",http://jbk.39.net/jxbdmyhfsxdjt/yyzl,内科,http://jbk.39.net/jxbdmyhfsxdjt/jbzs,"低烧,乏力,盗汗,体重减轻"
显微镜下多血管炎,风湿科,　　显微镜下多血管炎(microscopic polyangiitis，MPA)是一种主要累及小血管的系统性坏死性血管炎，可侵犯肾脏、皮肤和肺等脏器的小动脉、微动脉、毛细血管和小静脉。常表现为坏死性肾小球肾炎和肺毛细血管炎。1948年，Davson等首次提出在结节性多动脉炎中存在一种以节段性坏死性肾小球肾炎为特征的亚型，称之为显微镜下多动脉炎(microscopic polyarteritis)，因为其主要累及包括静脉在内的小血管，故现多称为显微镜下多血管炎。1990年的美国风湿病学会血管炎的分类标准并未将MPA单独列出，因此既往显微镜下多血管炎大多归属于结节性多动脉炎(polyarteritis nodosa，PAN)，极少数归属于韦格纳肉芽肿(Wegeners granulomatosis，WG)。目前普遍认为显微镜下多血管炎为一独立的系统性坏死性血管炎，很少或无免疫复合物沉积，常见坏死性肾小球肾炎以及肺的毛细血管炎。1993年Chapel Hill会议将显微镜下多血管炎定义为一种主要累及小血管(如毛细血管、小静脉或小动脉)无免疫复合物沉积的坏死性血管炎。PAN和MPA的区别在于，前者缺乏小血管的血管炎，包括小动脉、毛细血管和小静脉。鉴于MPA、WG和CSS(Churg-Strauss syndrome)3种血管炎具有ANCA阳性、缺乏免疫复合物沉积的相似特点，常共称为ANCA相关的血管炎。,xwjxdxgy, 显微镜下多动脉炎,http://jbk.39.net/xwjxdxgy/yyzl,内科,http://jbk.39.net/xwjxdxgy/jbzs,"发烧,厌食,乏力,关节痛,体重减轻"
