Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
小儿肺炎,呼吸内科,　　小儿肺炎是小儿最常见的一种呼吸道疾病，四季均易发生，3岁以内的婴幼儿在冬、春季节患肺炎较多。如治疗不彻底，易反复发作、引起多种重症并发症，影响孩子发育。小儿肺炎临床表现为发热、咳嗽、气促、呼吸困难和肺部细湿罗音，也有不发热而咳喘重者。小儿肺炎有典型症状，也有不典型的，新生儿肺炎尤其不典型。由细菌和病毒引起的肺炎最为多见。目前可通过疫苗预防小儿肺炎。常见有安尔宝(B型流感嗜血杆菌结合疫苗)、7价的肺炎球菌疫苗、23价肺炎球菌多糖疫苗。,xefy," 小儿急性肺炎,小儿急性支气管肺炎",http://jbk.39.net/xefy/yyzl,内科,http://jbk.39.net/xefy/jbzs,"小儿发热,小儿咳嗽,痰鸣音,小支气管粘膜水肿"
支原体肺炎,呼吸内科,　　支原体肺炎(mycoplasmal pneumonia)是由肺炎支原体(mycoplasmal pneumonia，MP)引起的肺炎，曾称原发性非典型性肺炎(primary atypical pneumonia)。起病缓慢，有发热、阵发性刺激性咳嗽，少量黏液性或黏液脓性痰(偶有血痰)。肺部体征多不明显，但易引起肺外多系统受累，也可威胁生命或死亡。好发于儿童或青少年，约占肺炎总数的15%～30%，流行年可高达40%～60%;一般预后良好，为自限性疾病。,zytfy," 伊顿肺炎,伊顿氏肺炎,原发性非典型性肺炎，冷凝集阳性肺炎",http://jbk.39.net/zytfy/yyzl,内科,http://jbk.39.net/zytfy/jbzs,"发作性咳嗽,头痛,周身不适,黏液脓性痰,气短"
阿斯匹林不耐受三联症,呼吸内科,　　阿斯匹林不耐受三联症(aspirin intolerance triad)或称Wiolal综合征(Wielals syndrome)，是一种原因不明的呼吸道高反应性疾病。此类患者常伴有鼻息肉和支气管哮喘。阿斯匹林、消炎痛等非类固醇抗炎药物，常可诱发鼻炎(喷嚏、流涕)、哮喘发作，还可伴有荨麻疹、血管性血肿等症状。,asplbnsslz, Wiolal综合征,http://jbk.39.net/asplbnsslz/yyzl,内科,http://jbk.39.net/asplbnsslz/jbzs,"胸闷,变应性鼻炎,皮质激素依赖"
肺热咳嗽,呼吸内科,　　肺热咳嗽是由于各种原因导致肺内郁热、肺气失宣、出现咳嗽为主的一种症候，临床主要表现为咳嗽、咳黄痰或白粘痰，伴有口干、咽痛、便秘、尿赤、身热或伴有喘息等症状，舌质红、苔薄黄或黄腻、少津、脉滑数或细数，这需要中医专家来辨证明确，中药治疗肺热咳嗽疗效显著。,frks,"
                        ",http://jbk.39.net/frks/yyzl,内科,http://jbk.39.net/frks/jbzs,
喉炎,呼吸内科,　　喉炎是指喉部粘膜的一般性病菌感染所引起的慢性炎症。因病变程度的不同，可分为慢性单纯性喉炎、肥厚性喉炎和萎缩性喉炎。,hy3,"
                        ",http://jbk.39.net/hy3/yyzl,内科,http://jbk.39.net/hy3/jbzs,
肺脓肿,呼吸内科,　　肺脓肿(lung abscess)是由于多种病因所引起的肺组织化脓性病变。早期为化脓性炎症，继而坏死形成脓肿。多发生于壮年，男多于女。根据发病原因有经气管感染型、血源性感染型和多发脓肿及肺癌等堵塞所致的感染型3种。肺脓肿也可以根据相关的病原进行归类，如葡萄球菌性、厌氧菌性或曲霉菌性肺脓肿。自抗生素广泛应用以来，肺脓肿的发生率已大为减少。,fnz,"
                        ",http://jbk.39.net/fnz/yyzl,内科,http://jbk.39.net/fnz/jbzs,"咳嗽伴杵状指,脓痰,胸痛,横膈低平,肺内空洞"
小儿毛细支气管炎,呼吸内科,　　急性毛细支气管炎(bronchiolitis)是一种婴幼儿较常见的以毛细支气管为主的下呼吸道急性感染，仅见于2岁以下婴幼儿，多数是1～6个月的小婴儿，发病与该年龄支气管的解剖学特点有关。因微小的管腔易由黏性分泌物、水肿及肌收缩而发生梗阻，并可引致肺气肿或肺不张。其临床症状如肺炎，且喘憋更著，以明显的喘咳和缺氧症状为特征。临床上较难发现未累及肺泡与肺泡间壁的纯粹毛细支气管炎，故国内认为是一种特殊类型的肺炎，实际上它与肺炎还是有区别的。本症可流行发病，有人称之为喘憋性肺炎。国内各地曾称之为：流行性毛细支气管炎(广西)、流行性喘憋型肺炎(浙江)、小儿喘憋性肺炎(上海)、流行性气喘病(广东)、流行性哮喘性肺炎(江西)等。至于在我国暴发流行的流行性喘憋性肺炎则另作叙述。,xemxzqgy,"
                        ",http://jbk.39.net/xemxzqgy/yyzl,内科,http://jbk.39.net/xemxzqgy/jbzs,"三凹征,干啰音,干咳,发绀"
咽峡炎,呼吸内科,　　是常见的咽喉疾病。如果你的扁桃体增大很多，多半是因为溶血性链球菌作用的缘故。扁桃体炎多半是病毒引起(例如流感)，很少是真菌引起的。,yxy1,"
                        ",http://jbk.39.net/yxy1/yyzl,内科,http://jbk.39.net/yxy1/jbzs,
特发性肺纤维化,呼吸内科,　　特发性肺纤维化(idiopathic pulmonary fibrosis，IPF)是一种不明原因的肺间质炎症性疾病，原因不明的肺泡纤维化和弥漫性肺间质纤维化均为其同义词。典型的IPF，主要表现为干咳、进行性呼吸困难，经数月或数年逐渐恶化，多在出现症状3～8年内进展至终末期呼吸衰竭或死亡。主要病理特点为肺间质和肺泡腔内纤维化和炎细胞浸润混合存在。尽管该病的发病机制还没有完全阐明，就其临床特征和病理足以说明这是一种特征性的疾病。IPF的治疗尚缺乏客观的、决定性的预后因素或治疗反应，皮质激素(以下简称激素)或免疫抑制剂、细胞毒药物仍是其主要的治疗药物，但不足30%的病人有治疗反应，且可表现毒副反应。,tfxfxwh," IPF,特发性肺纤维变性",http://jbk.39.net/tfxfxwh/yyzl,内科,http://jbk.39.net/tfxfxwh/jbzs,"端坐呼吸,劳力性呼吸困难,干咳"
肺大疱,呼吸内科,　　肺大疱是指发生在肺实质内直径超过1cm气肿性肺泡，常发生在肺气肿基础上，一般继发于细小支气管的炎性病变，如肺炎、肺气肿和肺结核，临床上最常与肺气肿并存。发生机制与肺气肿相似但程度较重。,fdp, 肺大泡,http://jbk.39.net/fdp/yyzl,内科,http://jbk.39.net/fdp/jbzs,"胸闷憋气,寒战,气短"
