Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
低钾血症,内分泌科,　　血清钾浓度低于3.5mmol/L(3.5mEq/L，正常人血清钾浓度的范围为3.5～5.5mmol/L)称为低钾血症。低钾血症时，机体的含钾总量不一定减少，细胞外钾向细胞内转移时，情况就是如此。但是，在大多数情况下，低钾血症的患者也伴有体钾总量的减少——缺钾(potassium deficit)。,djxz, 钾缺乏,http://jbk.39.net/djxz/yyzl,内科,http://jbk.39.net/djxz/jbzs,"排钾过多,代谢性低钾,表情淡漠,恶心,肠蠕动减慢,抽搐,乏力"
尿崩症,内分泌科,"　　尿量超过3L/d称尿崩。引起尿崩的常见疾病称尿崩症。尿崩症(diabetes insipindus)是指血管加压素(vasopressin,VP)又称抗利尿激素(antidiuretic hormone,ADH)分泌不足(又称中枢性或垂体性尿崩症)，或肾脏对血管加压素反应缺陷(又称肾性尿崩症)而引起的一组症群，其特点是多尿、烦渴、低比重尿和低渗尿。",nbz, 肾性尿崩症,http://jbk.39.net/nbz/yyzl,内科,http://jbk.39.net/nbz/jbzs,"烦渴多饮,多尿,尿比重下降"
淋巴管炎,内分泌科,　　淋巴管炎多数是通过局部创口或溃疡感染细菌所致，也有一些患者没有明确的细菌侵入口，感染从淋巴管传播到局部的淋巴结所致。,lbgy,"
                        ",http://jbk.39.net/lbgy/yyzl,内科,http://jbk.39.net/lbgy/jbzs,"淋巴管淤积,感染性发热,压痛"
糖尿病乳酸性酸中毒,内分泌科,　　糖尿病乳酸性酸中毒系不同原因引起血乳酸持续增高和PH减低(7.35)的异常生化改变所致的临床综合症，后果严重死亡率高。,tnbrsxszd,"
                                        ",http://jbk.39.net/tnbrsxszd/yyzl,内科,http://jbk.39.net/tnbrsxszd/jbzs,"恶心,血压下降,糖尿"
肾上腺皮质功能减退症,内分泌科,　　肾上腺皮质功能减退症按病因可分为原发性和继发性，按病程可分为急性和慢性。原发性肾上腺皮质功能减退症中最常见的是艾迪生(Addison)病，其常见病因为肾上腺结核或自身免疫性肾上腺炎;少见的病因包括深部真菌感染、免疫缺陷、病毒感染、恶性肿瘤、肾上腺广泛出血、手术切除、肾上腺脑白质营养不良及POEMS病等。继发性肾上腺皮质功能减退症，最常见于长期应用超生理剂量的糖皮质激素，也可继发于下丘脑-垂体疾病，如鞍区肿瘤、自身免疫性垂体炎、外伤、手术切除、产后大出血引起垂体大面积梗死坏死，即希恩(Sheehan)综合征等。,ssxpzgnjtz,"
                                        ",http://jbk.39.net/ssxpzgnjtz/yyzl,内科,http://jbk.39.net/ssxpzgnjtz/jbzs,"背痛,发绀,烦躁不安,肚子疼,腋毛和阴毛脱落,惊厥"
糖尿病皮肤感染,内分泌科,　　糖尿病皮肤感染是糖尿病患者的一个常见，比较严重的并发症，有1/3的糖尿病病人，并发有皮肤感染。有许多患者因为护理不当或失治误治而致残。,tnbpfgr,"
                                        ",http://jbk.39.net/tnbpfgr/yyzl,内科,http://jbk.39.net/tnbpfgr/jbzs,
慢性肾上腺皮质功能减退症,内分泌科,　　当两侧肾上腺绝大部分被破坏，出现种种皮质激素不足的表现，称肾上腺皮质功能减退症。可分原发性及继发性。原发性慢性肾上腺皮质功能减退症又称Addison病，比较少见；继发性可见下丘脑－垂体功能低下患者，由于CRF或ACTH的分泌不足，以致肾上腺皮质萎缩。,mxssxpzgnjtz," 艾迪生病,Addison病",http://jbk.39.net/mxssxpzgnjtz/yyzl,内科,http://jbk.39.net/mxssxpzgnjtz/jbzs,"尿中持续性排钠,昏迷,肚子疼,消瘦,胃肠道症状,昏睡"
急性甲状腺炎,内分泌科,　　急性甲状腺炎是甲状腺发生的急性化脓性感染。它是由细菌或真菌感染所致。细菌或真菌经血液循环、淋巴道或邻近化脓病变蔓延侵犯甲状腺引起急性化脓性炎症，其中以邻近化脓性病灶蔓延最多见继发感染也是另一种可能的原因。急性甲状腺炎起病较急，有高热、出汗及全身不适，甲状腺部位出现局部肿块，触痛很明显，局部皮肤发红、发热。,jxjzxy,"
                        ",http://jbk.39.net/jxjzxy/yyzl,内科,http://jbk.39.net/jxjzxy/jbzs,
碘源性甲亢,内分泌科,　　碘致甲状腺功能亢进(iodine-induced hyperthyroidism，IIH)是指与摄碘量增加有关的甲亢，简称碘甲亢，又称碘性巴塞多病或碘致甲状腺毒症(iodine-induced thyrotoxicosis，IIT)。从摄入的碘量来看，碘甲亢的发生有3种情况：第1种是一次或多次大剂量的碘摄入造成碘甲亢，如服胺碘酮等含碘药物或使用造影剂，它可发生在碘营养正常的人，患结节甲肿者更易发生;第2种是摄入较高剂量的碘，多发生在高碘地区，因长期摄入较高剂量的碘而发生碘甲亢;第3种是摄入一般剂量的碘(可以是生理范围内碘摄入量)，见于缺碘地区(包括边缘性缺碘地区)甲肿病人服碘盐后;非缺碘地区甲肿病人服碘后;原有甲亢已控制的病人服碘后复发者。,dyxjk, 碘甲亢，碘性巴塞多病，碘致甲状腺毒症,http://jbk.39.net/dyxjk/yyzl,内科,http://jbk.39.net/dyxjk/jbzs,"高代谢征群,碘甲亢,血管杂音,心动过速,甲状腺肿"
继发性甲状旁腺功能亢进症,内分泌科,　　继发性甲状旁腺功能亢进症(secondary hyperparathyroidism，SHPT，简称继发性甲旁亢)，是指在慢性肾功能不全、肠吸收不良综合征、Fanconi综合征和肾小管酸中毒、维生素D缺乏或抵抗以及妊娠、哺乳等情况下，甲状旁腺长期受到低血钙、低血镁或高血磷的刺激而分泌过量的PTH，以提高血钙、血镁和降低血磷的一种慢性代偿性临床综合征。伴有不同程度的甲状旁腺增生，但并非甲状旁腺本身疾病所致。,jfxjzpxgnkjz,"
                        ",http://jbk.39.net/jfxjzpxgnkjz/yyzl,内科,http://jbk.39.net/jfxjzpxgnkjz/jbzs,"甲状旁腺功能亢进,骨痛,关节畸形,血中钙离子过高"
